anio_acci,nro_acci,fecha,desc_dia,hora_aprox,desc_ruta,km,cant_participantes,desc_participante,calle_avenida_km,total,heridos_leves,heridos_graves,heridos_gravisimos,ilesos,fallecidos,sin_datos,posicion_XY,desc_tipo_via,desc_ruta_ori,desc_loc,desc_dpto,desc_tipo_calzada,desc_tipo_banquina,desc_unidad_regional,desc_lugar_calzada,desc_zona,desc_prioridad,desc_estado_semaforo,desc_lugar_via,desc_estado_via,desc_estado_visibilidad,desc_luminosidad,desc_estado_clima,desc_tipo_colision,desc_tipo_atropello,desc_tipo_hecho,desc_pres_calzada,desc_senializacion,desc_separacion_via,desc_restriccion
2020,1754,2020-05-05,Martes,13:00:00,,0.0,2,"Moto/Ciclomotor,Automóvil",Av. Battle y Ordo�ez Y Salva,2,1,0,0,1,0,0,"-33.00868, -60.63995",Calle,,ROSARIO,Rosario,Asfalto,No existe,II,Dentro,Urbana,Ninguna,S/D,Intersección,Bueno,Buena,Diurna,Buen Tiempo,Lateral,S/D,Colisión,Ninguna,Faltante,Ninguna,Sin restricción
2020,1755,2020-05-04,Lunes,12:30:00,,0.0,2,"Automóvil,Moto/Ciclomotor",Bv. Rondeau Y Ricardo Gutierrez,2,1,0,0,0,0,1,"-32.88158, -60.69638",Avenida,,ROSARIO,Rosario,Asfalto,Natural,II,Dentro,Urbana,S/D,S/D,Recta,Con baches,S/D,S/D,S/D,S/D,S/D,S/D,Ninguna,S/D,Cordón divisorio,S/D
2020,1756,2020-05-05,Martes,,,0.0,2,"Automóvil,Moto/Ciclomotor",Av. Frondizi A ,2,1,1,0,0,0,0,"-32.911, -60.67692",Calle,,ROSARIO,Rosario,Asfalto,No existe,II,Dentro,Urbana,S/D,No existe,Recta,Con baches,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D
2020,1757,2020-05-15,Viernes,12:30:00,,0.0,2,"Pickup/Utilitario,Bicicleta",Moreno Y Dorrego,2,1,0,0,1,0,0,"-32.75235, -60.73744",Calle,,SAN LORENZO,San Lorenzo,S/D,S/D,XVII,S/D,Urbana,S/D,S/D,Intersección,S/D,S/D,S/D,S/D,S/D,Ciclista,Atropello,S/D,S/D,S/D,S/D
2020,1758,2020-05-08,Viernes,19:30:00,,0.0,2,"Moto/Ciclomotor,Taxi/Remis",Av. Eva Peron Y Pascual Rosas,3,2,0,0,1,0,0,"-32.93788, -60.68596",Avenida,,ROSARIO,Rosario,Asfalto,No existe,II,Dentro,Urbana,Ninguna,No existe,Intersección,Bueno,Buena,Diurna,Buen Tiempo,De alcance,S/D,Colisión,Ninguna,Faltante,Ninguna,Sin restricción
2020,1759,2020-05-11,Lunes,06:50:00,Ruta Nacional 11,0.0,2,"Automóvil,Automóvil",Av San Martin Y Moreno,2,1,0,0,0,0,1,"-32.75242, -60.73419",Ruta,11,SAN LORENZO,San Lorenzo,S/D,S/D,XVII,S/D,Urbana,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,Colisión,S/D,S/D,S/D,S/D
2020,1760,2020-05-08,Viernes,07:45:00,,0.0,2,"Moto/Ciclomotor,Moto/Ciclomotor",Cordoba Y Ricchieri,2,1,0,0,1,0,0,"-32.94206, -60.66281",Calle,,ROSARIO,Rosario,Asfalto,No existe,II,Dentro,Urbana,S/D,No existe,Intersección,Bueno,Buena,Diurna,Buen Tiempo,S/D,S/D,Colisión,Ninguna,Faltante,Ninguna,Sin restricción
2020,1761,2020-05-09,Sabado,12:30:00,,0.0,2,"Moto/Ciclomotor,Pickup/Utilitario",12 de Octubre Y Juan de Garay,3,0,1,0,2,0,0,"-29.23088, -61.77125",Calle,,TOSTADO,9 de Julio,Asfalto,Pavimento,XII,S/D,Urbana,Ninguna,No existe,Intersección,Bueno,Buena,Diurna,Buen Tiempo,Lateral,S/D,Colisión,Ninguna,"Horizontal,Vertical",Ninguna,Sin restricción
2020,1762,2020-05-10,Domingo,15:20:00,,0.0,2,"Automóvil,Moto/Ciclomotor",Sarmiento ,2,1,0,0,1,0,0,"-30.95304, -61.55923",Avenida,,SUNCHALES,Castellanos,Ripio,Ripio,V,Dentro,Urbana,S/D,No existe,Intersección,Bueno,Buena,Diurna,Buen Tiempo,Lateral,S/D,Colisión,Ninguna,Faltante,S/D,S/D
2020,1763,2020-05-11,Lunes,,,0.0,2,"Moto/Ciclomotor,Moto/Ciclomotor",San Juan Y 2 de Abril,2,1,1,0,0,0,0,"-29.22798, -61.76723",Calle,,TOSTADO,9 de Julio,Asfalto,No existe,XII,Dentro,Urbana,Ninguna,No existe,Intersección,Bueno,Buena,Diurna,Buen Tiempo,Múltiple,S/D,Colisión,S/D,Faltante,S/D,Sin restricción
