"anio_acci","nro_acci","fecha","desc_dia","fecha_aprox","hora_aprox","desc_ruta","km","cant_participantes","desc_participante","calle_avenida_km","total","heridos_leves","heridos_graves","heridos_gravisimos","ilesos","fallecidos","sin_datos","posicion_XY","desc_tipo_via","desc_ruta_ori","desc_loc","desc_dpto","desc_tipo_calzada","desc_tipo_banquina","desc_unidad_regional","desc_lugar_calzada","desc_zona","desc_prioridad","desc_estado_semaforo","desc_lugar_via","desc_estado_via","desc_estado_visibilidad","desc_luminosidad","desc_estado_clima","desc_tipo_colision","desc_tipo_atropello","desc_tipo_hecho","desc_pres_calzada","desc_senializacion","desc_separacion_via","desc_restriccion"
2015,2513,26/04/2015,"Domingo",0,01:30:00,,"0.0",2,"Automóvil,Pickup/Utilitario","Av San Martin Y Salta",3,1,0,0,2,0,0,,"Avenida",,"SAN LORENZO","San Lorenzo","Asfalto","S/D","XVII","Dentro","Urbana","S/D","S/D","Intersección","S/D","S/D","Nocturna","S/D","S/D","S/D","Colisión","S/D","S/D","S/D","S/D"
2015,2514,08/04/2015,"Miercoles",0,,,"0.0",2,"Moto/Ciclomotor,Automóvil","Belgrano Y Formosa",3,2,0,0,0,0,1,,"Calle",,"VILLA CONSTITUCIÓN","Constitución","Asfalto","Pavimento","VI","Dentro","Urbana","Ninguna","No existe","Intersección","Otro","Buena","Diurna","Buen Tiempo","Frontal","S/D","Colisión","Ninguna","Faltante","Ninguna","Sin restricción"
2015,2515,26/04/2015,"Domingo",0,19:30:00,,"0.0",2,"Pickup/Utilitario,Moto/Ciclomotor","Ing White Y Jose Marquez",2,1,0,0,1,0,0,,"Calle",,"SAN LORENZO","San Lorenzo","S/D","S/D","XVII","Dentro","Urbana","S/D","S/D","Intersección","S/D","S/D","Atardecer","S/D","S/D","S/D","Colisión","S/D","S/D","S/D","S/D"
2015,2516,03/04/2015,"Viernes",0,23:00:00,"Ruta Nacional 34","27.0",2,"Camión,Camión"," ",2,0,1,0,1,0,0,,"Ruta",34,"LUIS PALACIOS","San Lorenzo","Asfalto","Natural","XVII","Dentro","Rural","Marca Vial","No existe","Recta","Bueno","Buena","Nocturna","Buen Tiempo","De alcance","S/D","Colisión","Ninguna","Vertical","Línea divisoria pintada","Sin restricción"
2015,2517,08/04/2015,"Miercoles",0,,,"0.0",2,"Moto/Ciclomotor,Automóvil","14 de Febrero Y Guillermo Brown",2,1,0,0,1,0,0,,"Avenida",,"VILLA CONSTITUCIÓN","Constitución","Asfalto","Pavimento","VI","Dentro","Urbana","Ninguna","No existe","Intersección","Bueno","Buena","Diurna","Buen Tiempo","Frontal","S/D","Colisión","Ninguna","Faltante","Ninguna","Sin restricción"
2015,2518,29/04/2015,"Miercoles",0,02:50:00,"Ruta Provincial 10","0.0",2,"Camión,Camión","Y BV OROÑO ",2,1,0,0,0,0,1,,"Ruta",10,"SAN LORENZO","San Lorenzo","Asfalto","S/D","XVII","S/D","Urbana","S/D","S/D","Intersección","S/D","S/D","Nocturna","S/D","S/D","S/D","Colisión","S/D","S/D","S/D","S/D"
2015,2519,21/04/2015,"Martes",0,15:30:00,,"0.0",2,"Moto/Ciclomotor,Moto/Ciclomotor","Calle 47-Islas Malvinas Y Calle 50",3,2,0,0,1,0,0,,"Calle",,"RECONQUISTA","General Obligado","Asfalto","No existe","IX","Dentro","Urbana","Ninguna","No existe","Intersección","Bueno","Buena","Diurna","Buen Tiempo","Otro","S/D","Colisión","Ninguna","Faltante","Ninguna","Sin restricción"
2015,2520,22/04/2015,"Miercoles",0,,"Ruta Nacional A009","0.0",2,"Bicicleta,Automóvil","Ruta A-009 Y Calle 83",2,1,0,0,1,0,0,,"Ruta","A009","RECONQUISTA","General Obligado","Asfalto","Natural","IX","Fuera","Urbana","Ninguna","No existe","Recta","Bueno","S/D","S/D","S/D","Otro","S/D","Atropello","Ninguna","Faltante","S/D","Sin restricción"
2015,2521,10/04/2015,"Viernes",0,15:10:00,"Ruta Nacional A012","32.0",1,"Automóvil","Formosa ",2,2,0,0,0,0,0,,"Ruta","A012","ROLDÁN","San Lorenzo","Asfalto","Natural","XVII","Dentro","Rural","Ninguna","No existe","Recta","Bueno","Buena","Diurna","Buen Tiempo","S/D","S/D","Despiste","S/D","Vertical","Ninguna","Sin restricción"
2015,2522,12/04/2015,"Domingo",0,07:15:00,"Ruta Nacional A012","44.0",2,"Camión,Moto/Ciclomotor","Catamarca ",2,0,1,0,1,0,0,,"Ruta","A012","ROLDÁN","San Lorenzo","Asfalto","Natural","XVII","Dentro","Urbana","Ninguna","No existe","Recta","Bueno","Reducida","Amanecer","Buen Tiempo","Otro","S/D","Colisión","S/D","Vertical","Ninguna","S/D"
