anio_acci,nro_acci,fecha,desc_dia,fecha_aprox,hora_aprox,desc_ruta,km,cant_participantes,desc_participante,calle_avenida_km,total,heridos_leves,heridos_graves,heridos_gravisimos,ilesos,fallecidos,sin_datos,posicion_XY,desc_tipo_via,desc_ruta_ori,desc_loc,desc_dpto,desc_tipo_calzada,desc_tipo_banquina,desc_unidad_regional,desc_lugar_calzada,desc_zona,desc_prioridad,desc_estado_semaforo,desc_lugar_via,desc_estado_via,desc_estado_visibilidad,desc_luminosidad,desc_estado_clima,desc_tipo_colision,desc_tipo_atropello,desc_tipo_hecho,desc_pres_calzada,desc_senializacion,desc_separacion_via,desc_restriccion
2018,10017,2018-11-19,Lunes,0,19:05:00,,0.0,2,"Moto/Ciclomotor,Taxi/Remis",Av. Avellaneda B Y Pje. Granaderos,3,1,0,0,2,0,0,"-32.97012, -60.68702",Calle,,ROSARIO,Rosario,Asfalto,No existe,II,Dentro,Urbana,Semáforo,Funciona,Recta,Bueno,Buena,Diurna,Buen Tiempo,De alcance,S/D,Colisión,Ninguna,"Horizontal,Vertical",Cordón divisorio,Sin restricción
2018,10018,2018-11-15,Jueves,0,,,0.0,2,"Pickup/Utilitario,Bicicleta", ,2,1,0,0,1,0,0,"-33.04292, -61.16535",Calle,,CASILDA,Caseros,S/D,S/D,IV,S/D,Urbana,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,Ciclista,Atropello,S/D,S/D,S/D,S/D
2018,10019,2018-11-07,Miercoles,0,07:30:00,,0.0,2,"Automóvil,Automóvil",Av Freyre Y Primera Junta,2,0,0,0,0,0,2,"-31.645027777778,-60.718166666667",Calle,,SANTA FE,La Capital,Asfalto,No existe,I,Dentro,Urbana,Ninguna,Funciona,Recta,Bueno,Buena,Diurna,Buen Tiempo,Otro,S/D,Colisión,Ninguna,Vertical,Ninguna,Sin restricción
2018,10020,2018-11-16,Viernes,0,,,0.0,2,"Taxi/Remis,Moto/Ciclomotor",Alsina Y Uruguay,3,2,0,0,1,0,0,"-32.969916666667,-60.684083333333",Calle,,ROSARIO,Rosario,S/D,S/D,II,S/D,Urbana,S/D,S/D,Intersección,S/D,S/D,S/D,S/D,S/D,S/D,Colisión,S/D,S/D,S/D,S/D
2018,10021,2018-11-06,Martes,0,18:35:00,,0.0,2,"Automóvil,Moto/Ciclomotor",Vera Y Dr Zavalla,2,0,0,0,0,0,2,"-31.640916666667,-60.718694444444",S/D,,SANTA FE,La Capital,Asfalto,No existe,I,S/D,S/D,Ninguna,Funciona,Recta,Bueno,Buena,Diurna,Buen Tiempo,Otro,S/D,Colisión,Ninguna,Vertical,Ninguna,Sin restricción
2018,10022,2018-11-19,Lunes,0,16:00:00,,0.0,1,Moto/Ciclomotor,Antelo Bis Y Jose Ingenieros,1,1,0,0,0,0,0,"-32.916305555556,-60.686666666667",Calle,,ROSARIO,Rosario,Asfalto,No existe,II,Dentro,Urbana,Ninguna,No existe,Intersección,Bueno,Buena,Diurna,Buen Tiempo,Lateral,S/D,Colisión,Ninguna,Faltante,S/D,Sin restricción
2018,10023,2018-11-05,Lunes,0,12:00:00,,0.0,2,"Peatón,Automóvil",Francia Y Mendoza,2,0,0,0,0,0,2,"-31.647138888889,-60.714916666667",Calle,,SANTA FE,La Capital,Asfalto,No existe,I,Dentro,Urbana,Ninguna,Funciona,Recta,Bueno,Buena,Diurna,Buen Tiempo,Otro,Peatón,Atropello,Ninguna,Vertical,Ninguna,Sin restricción
2018,10024,2018-11-05,Lunes,0,17:50:00,,0.0,2,"Automóvil,Moto/Ciclomotor",Lamadrid Y Salta,2,0,0,0,0,0,2,"-31.646055555556,-60.728638888889",S/D,,SANTA FE,La Capital,Asfalto,No existe,I,S/D,S/D,Ninguna,Funciona,Recta,Bueno,Buena,Diurna,Buen Tiempo,Otro,S/D,Colisión,Ninguna,Vertical,Ninguna,Sin restricción
2018,10025,2018-11-22,Jueves,0,11:00:00,,0.0,2,"Automóvil,Moto/Ciclomotor",Santa Maria De Oro Bis Y Velez Sarsfield,2,1,0,0,1,0,0,"-32.924833333333,-60.673583333333",Calle,,ROSARIO,Rosario,Asfalto,No existe,II,S/D,Urbana,Semáforo,Funciona,Recta,Otro,Buena,Diurna,Buen Tiempo,Otro,S/D,Colisión,Ninguna,Vertical,Ninguna,Sin restricción
2018,10026,2018-09-07,Viernes,0,,Ruta Secundaria 22-s,0.0,2,"Automóvil,Peatón",Ruta Prov 22 S Y Av la Plata,2,0,1,0,1,0,0,"-33.034609, -60.656214",Ruta,22-s,VILLA GOBERNADOR GÁLVEZ,Rosario,"Asfalto,Tierra",No existe,II,Dentro,Urbana,Ninguna,No existe,Intersección,S/D,S/D,S/D,S/D,S/D,Peatón,Atropello,S/D,Faltante,Ninguna,S/D
