"id_distrito","departamento","distrito","Sexo","Grupo de edad","Nacionalidad","Población"
"0810","Castellanos","Colonia Aldao","Varones","de 20 a 24 años","Argentina",76
"0810","Castellanos","Colonia Aldao","Varones","de 25 a 29 años","Argentina",68
"0810","Castellanos","Colonia Aldao","Varones","de 30 a 34 años","Argentina",60
"0810","Castellanos","Colonia Aldao","Varones","de 35 a 39 años","Argentina",64
"0810","Castellanos","Colonia Aldao","Varones","de 35 a 39 años","Otros",1
"0810","Castellanos","Colonia Aldao","Varones","de 40 a 44 años","Argentina",59
"0810","Castellanos","Colonia Aldao","Varones","de 45 a 49 años","Argentina",55
"0810","Castellanos","Colonia Aldao","Varones","de 50 a 54 años","Argentina",52
"0810","Castellanos","Colonia Aldao","Varones","de 55 a 59 años","Argentina",44
"0810","Castellanos","Colonia Aldao","Varones","de 60 a 64 años","Argentina",40
"0810","Castellanos","Colonia Aldao","Varones","de 65 a 69 años","Argentina",17
"0810","Castellanos","Colonia Aldao","Varones","de 65 a 69 años","Otros",1
"0810","Castellanos","Colonia Aldao","Varones","de 70 a 74 años","Argentina",15
"0810","Castellanos","Colonia Aldao","Varones","de 70 a 74 años","Otros",1
"0810","Castellanos","Colonia Aldao","Varones","de 75 a 79 años","Argentina",23
"0810","Castellanos","Colonia Aldao","Varones","de 80 y más años","Argentina",25
"0810","Castellanos","Colonia Aldao","Varones","de 80 y más años","Otros",1
"0810","Castellanos","Colonia Aldao","Mujeres","de 00 a 04 años","Argentina",60
"0810","Castellanos","Colonia Aldao","Mujeres","de 05 a 09 años","Argentina",81
"0810","Castellanos","Colonia Aldao","Mujeres","de 10 a 14 años","Argentina",89
"0810","Castellanos","Colonia Aldao","Mujeres","de 15 a 19 años","Argentina",78
"0810","Castellanos","Colonia Aldao","Mujeres","de 20 a 24 años","Argentina",59
"0810","Castellanos","Colonia Aldao","Mujeres","de 25 a 29 años","Argentina",74
"0810","Castellanos","Colonia Aldao","Mujeres","de 30 a 34 años","Argentina",52
"0810","Castellanos","Colonia Aldao","Mujeres","de 35 a 39 años","Argentina",61
"0810","Castellanos","Colonia Aldao","Mujeres","de 40 a 44 años","Argentina",57
"0810","Castellanos","Colonia Aldao","Mujeres","de 40 a 44 años","Otros",1
"0810","Castellanos","Colonia Aldao","Mujeres","de 45 a 49 años","Argentina",45
"0810","Castellanos","Colonia Aldao","Mujeres","de 50 a 54 años","Argentina",42
"0810","Castellanos","Colonia Aldao","Mujeres","de 50 a 54 años","Otros",1
"0810","Castellanos","Colonia Aldao","Mujeres","de 55 a 59 años","Argentina",46
"0810","Castellanos","Colonia Aldao","Mujeres","de 60 a 64 años","Argentina",39
"0810","Castellanos","Colonia Aldao","Mujeres","de 65 a 69 años","Argentina",34
"0810","Castellanos","Colonia Aldao","Mujeres","de 70 a 74 años","Argentina",34
"0810","Castellanos","Colonia Aldao","Mujeres","de 75 a 79 años","Argentina",13
"0810","Castellanos","Colonia Aldao","Mujeres","de 80 y más años","Argentina",34
"0810","Castellanos","Colonia Aldao","Mujeres","de 80 y más años","Otros",1
"0807","Castellanos","Colonia Bicha","Varones","de 00 a 04 años","Argentina",19
"0807","Castellanos","Colonia Bicha","Varones","de 05 a 09 años","Argentina",20
"0807","Castellanos","Colonia Bicha","Varones","de 10 a 14 años","Argentina",13
"0807","Castellanos","Colonia Bicha","Varones","de 15 a 19 años","Argentina",22
"0807","Castellanos","Colonia Bicha","Varones","de 20 a 24 años","Argentina",20
"0807","Castellanos","Colonia Bicha","Varones","de 25 a 29 años","Argentina",13
"0807","Castellanos","Colonia Bicha","Varones","de 30 a 34 años","Argentina",10
"0807","Castellanos","Colonia Bicha","Varones","de 35 a 39 años","Argentina",13
"0807","Castellanos","Colonia Bicha","Varones","de 40 a 44 años","Argentina",9
"0807","Castellanos","Colonia Bicha","Varones","de 45 a 49 años","Argentina",10
"0807","Castellanos","Colonia Bicha","Varones","de 50 a 54 años","Argentina",13
"0807","Castellanos","Colonia Bicha","Varones","de 55 a 59 años","Argentina",10
"0807","Castellanos","Colonia Bicha","Varones","de 60 a 64 años","Argentina",3
"0807","Castellanos","Colonia Bicha","Varones","de 65 a 69 años","Argentina",4
"0807","Castellanos","Colonia Bicha","Varones","de 70 a 74 años","Argentina",4
"0807","Castellanos","Colonia Bicha","Varones","de 75 a 79 años","Argentina",3
"0807","Castellanos","Colonia Bicha","Varones","de 80 y más años","Argentina",3
"0807","Castellanos","Colonia Bicha","Mujeres","de 00 a 04 años","Argentina",13
"0807","Castellanos","Colonia Bicha","Mujeres","de 05 a 09 años","Argentina",14
"0807","Castellanos","Colonia Bicha","Mujeres","de 10 a 14 años","Argentina",12
"0807","Castellanos","Colonia Bicha","Mujeres","de 15 a 19 años","Argentina",16
"0807","Castellanos","Colonia Bicha","Mujeres","de 20 a 24 años","Argentina",8
"0807","Castellanos","Colonia Bicha","Mujeres","de 25 a 29 años","Argentina",15
"0807","Castellanos","Colonia Bicha","Mujeres","de 30 a 34 años","Argentina",18
"0807","Castellanos","Colonia Bicha","Mujeres","de 30 a 34 años","Otros",1
"0807","Castellanos","Colonia Bicha","Mujeres","de 35 a 39 años","Argentina",7
"0807","Castellanos","Colonia Bicha","Mujeres","de 40 a 44 años","Argentina",8
"0807","Castellanos","Colonia Bicha","Mujeres","de 45 a 49 años","Argentina",14
"0807","Castellanos","Colonia Bicha","Mujeres","de 50 a 54 años","Argentina",7
"0807","Castellanos","Colonia Bicha","Mujeres","de 55 a 59 años","Argentina",5
"0807","Castellanos","Colonia Bicha","Mujeres","de 60 a 64 años","Argentina",8
"0807","Castellanos","Colonia Bicha","Mujeres","de 65 a 69 años","Argentina",3
"0807","Castellanos","Colonia Bicha","Mujeres","de 70 a 74 años","Argentina",3
"0807","Castellanos","Colonia Bicha","Mujeres","de 75 a 79 años","Argentina",1
"0807","Castellanos","Colonia Bicha","Mujeres","de 80 y más años","Argentina",5
"0816","Castellanos","Colonia Bigand","Varones","de 00 a 04 años","Argentina",16
"0816","Castellanos","Colonia Bigand","Varones","de 05 a 09 años","Argentina",14
"0816","Castellanos","Colonia Bigand","Varones","de 10 a 14 años","Argentina",3
"0816","Castellanos","Colonia Bigand","Varones","de 15 a 19 años","Argentina",14
"0816","Castellanos","Colonia Bigand","Varones","de 20 a 24 años","Argentina",9
"0816","Castellanos","Colonia Bigand","Varones","de 25 a 29 años","Argentina",9
"0816","Castellanos","Colonia Bigand","Varones","de 30 a 34 años","Argentina",10
"0816","Castellanos","Colonia Bigand","Varones","de 35 a 39 años","Argentina",5
"0816","Castellanos","Colonia Bigand","Varones","de 40 a 44 años","Argentina",9
"0816","Castellanos","Colonia Bigand","Varones","de 45 a 49 años","Argentina",4
"0816","Castellanos","Colonia Bigand","Varones","de 50 a 54 años","Argentina",8
"0816","Castellanos","Colonia Bigand","Varones","de 55 a 59 años","Argentina",6
"0816","Castellanos","Colonia Bigand","Varones","de 60 a 64 años","Argentina",1
"0816","Castellanos","Colonia Bigand","Varones","de 65 a 69 años","Argentina",1
"0816","Castellanos","Colonia Bigand","Varones","de 70 a 74 años","Argentina",1
"0816","Castellanos","Colonia Bigand","Mujeres","de 00 a 04 años","Argentina",16
"0816","Castellanos","Colonia Bigand","Mujeres","de 05 a 09 años","Argentina",9
"0816","Castellanos","Colonia Bigand","Mujeres","de 10 a 14 años","Argentina",10
"0816","Castellanos","Colonia Bigand","Mujeres","de 15 a 19 años","Argentina",10
"0816","Castellanos","Colonia Bigand","Mujeres","de 20 a 24 años","Argentina",15
"0816","Castellanos","Colonia Bigand","Mujeres","de 25 a 29 años","Argentina",5
"0816","Castellanos","Colonia Bigand","Mujeres","de 30 a 34 años","Argentina",7
"0816","Castellanos","Colonia Bigand","Mujeres","de 35 a 39 años","Argentina",5
"0816","Castellanos","Colonia Bigand","Mujeres","de 40 a 44 años","Argentina",3
"0816","Castellanos","Colonia Bigand","Mujeres","de 45 a 49 años","Argentina",4
"0816","Castellanos","Colonia Bigand","Mujeres","de 50 a 54 años","Argentina",9
"0816","Castellanos","Colonia Bigand","Mujeres","de 60 a 64 años","Argentina",3
"0816","Castellanos","Colonia Bigand","Mujeres","de 65 a 69 años","Argentina",1
"0816","Castellanos","Colonia Bigand","Mujeres","de 70 a 74 años","Argentina",1
"0834","Castellanos","Colonia Cello","Varones","de 00 a 04 años","Argentina",14
"0834","Castellanos","Colonia Cello","Varones","de 05 a 09 años","Argentina",14
"0834","Castellanos","Colonia Cello","Varones","de 10 a 14 años","Argentina",22
"0834","Castellanos","Colonia Cello","Varones","de 15 a 19 años","Argentina",18
"0834","Castellanos","Colonia Cello","Varones","de 20 a 24 años","Argentina",11
"0834","Castellanos","Colonia Cello","Varones","de 25 a 29 años","Argentina",13
"0834","Castellanos","Colonia Cello","Varones","de 30 a 34 años","Argentina",14
"0834","Castellanos","Colonia Cello","Varones","de 35 a 39 años","Argentina",5
"0834","Castellanos","Colonia Cello","Varones","de 40 a 44 años","Argentina",8
"0834","Castellanos","Colonia Cello","Varones","de 45 a 49 años","Argentina",15
"0834","Castellanos","Colonia Cello","Varones","de 45 a 49 años","Otros",1
"0834","Castellanos","Colonia Cello","Varones","de 50 a 54 años","Argentina",12
"0834","Castellanos","Colonia Cello","Varones","de 55 a 59 años","Argentina",9
"0834","Castellanos","Colonia Cello","Varones","de 60 a 64 años","Argentina",4
"0834","Castellanos","Colonia Cello","Varones","de 60 a 64 años","Otros",1
"0834","Castellanos","Colonia Cello","Varones","de 65 a 69 años","Argentina",6
"0834","Castellanos","Colonia Cello","Varones","de 70 a 74 años","Argentina",9
"0834","Castellanos","Colonia Cello","Varones","de 75 a 79 años","Argentina",4
"0834","Castellanos","Colonia Cello","Varones","de 80 y más años","Argentina",2
"0834","Castellanos","Colonia Cello","Mujeres","de 00 a 04 años","Argentina",15
"0834","Castellanos","Colonia Cello","Mujeres","de 05 a 09 años","Argentina",13
"0834","Castellanos","Colonia Cello","Mujeres","de 10 a 14 años","Argentina",7
"0834","Castellanos","Colonia Cello","Mujeres","de 15 a 19 años","Argentina",10
"0834","Castellanos","Colonia Cello","Mujeres","de 20 a 24 años","Argentina",13
"0834","Castellanos","Colonia Cello","Mujeres","de 25 a 29 años","Argentina",9
"0834","Castellanos","Colonia Cello","Mujeres","de 30 a 34 años","Argentina",14
"0834","Castellanos","Colonia Cello","Mujeres","de 35 a 39 años","Argentina",7
"0834","Castellanos","Colonia Cello","Mujeres","de 40 a 44 años","Argentina",8
"0834","Castellanos","Colonia Cello","Mujeres","de 45 a 49 años","Argentina",7
"0834","Castellanos","Colonia Cello","Mujeres","de 50 a 54 años","Argentina",7
"0834","Castellanos","Colonia Cello","Mujeres","de 55 a 59 años","Argentina",9
"0834","Castellanos","Colonia Cello","Mujeres","de 60 a 64 años","Argentina",4
"0834","Castellanos","Colonia Cello","Mujeres","de 65 a 69 años","Argentina",6
"0834","Castellanos","Colonia Cello","Mujeres","de 70 a 74 años","Argentina",3
"0834","Castellanos","Colonia Cello","Mujeres","de 75 a 79 años","Argentina",4
"0834","Castellanos","Colonia Cello","Mujeres","de 80 y más años","Argentina",5
"0805","Castellanos","Tacural","Varones","de 00 a 04 años","Argentina",55
"0805","Castellanos","Tacural","Varones","de 05 a 09 años","Argentina",72
"0805","Castellanos","Tacural","Varones","de 10 a 14 años","Argentina",76
"0805","Castellanos","Tacural","Varones","de 15 a 19 años","Argentina",68
"0805","Castellanos","Tacural","Varones","de 20 a 24 años","Argentina",53
"0805","Castellanos","Tacural","Varones","de 25 a 29 años","Argentina",51
"0805","Castellanos","Tacural","Varones","de 30 a 34 años","Argentina",62
"0805","Castellanos","Tacural","Varones","de 35 a 39 años","Argentina",47
"0805","Castellanos","Tacural","Varones","de 40 a 44 años","Argentina",46
"0805","Castellanos","Tacural","Varones","de 45 a 49 años","Argentina",45
"0805","Castellanos","Tacural","Varones","de 50 a 54 años","Argentina",47
"0805","Castellanos","Tacural","Varones","de 55 a 59 años","Argentina",41
"0805","Castellanos","Tacural","Varones","de 60 a 64 años","Argentina",30
"0805","Castellanos","Tacural","Varones","de 60 a 64 años","Otros",1
"0805","Castellanos","Tacural","Varones","de 65 a 69 años","Argentina",32
"0805","Castellanos","Tacural","Varones","de 70 a 74 años","Argentina",18
"0805","Castellanos","Tacural","Varones","de 75 a 79 años","Argentina",16
"0805","Castellanos","Tacural","Varones","de 80 y más años","Argentina",13
"0805","Castellanos","Tacural","Mujeres","de 00 a 04 años","Argentina",57
"0805","Castellanos","Tacural","Mujeres","de 05 a 09 años","Argentina",66
"0805","Castellanos","Tacural","Mujeres","de 10 a 14 años","Argentina",52
"0805","Castellanos","Tacural","Mujeres","de 15 a 19 años","Argentina",68
"0805","Castellanos","Tacural","Mujeres","de 20 a 24 años","Argentina",54
"0805","Castellanos","Tacural","Mujeres","de 25 a 29 años","Argentina",37
"0805","Castellanos","Tacural","Mujeres","de 25 a 29 años","Otros",1
"0805","Castellanos","Tacural","Mujeres","de 30 a 34 años","Argentina",47
"0805","Castellanos","Tacural","Mujeres","de 35 a 39 años","Argentina",57
"0805","Castellanos","Tacural","Mujeres","de 40 a 44 años","Argentina",36
"0805","Castellanos","Tacural","Mujeres","de 45 a 49 años","Argentina",37
"0805","Castellanos","Tacural","Mujeres","de 45 a 49 años","Otros",1
"0805","Castellanos","Tacural","Mujeres","de 50 a 54 años","Argentina",38
"0805","Castellanos","Tacural","Mujeres","de 55 a 59 años","Argentina",39
"0805","Castellanos","Tacural","Mujeres","de 60 a 64 años","Argentina",29
"0805","Castellanos","Tacural","Mujeres","de 60 a 64 años","Otros",2
"0805","Castellanos","Tacural","Mujeres","de 65 a 69 años","Argentina",31
"0805","Castellanos","Tacural","Mujeres","de 70 a 74 años","Argentina",21
"0805","Castellanos","Tacural","Mujeres","de 75 a 79 años","Argentina",23
"0805","Castellanos","Tacural","Mujeres","de 80 y más años","Argentina",29
"0836","Castellanos","Colonia Iturraspe","Varones","de 00 a 04 años","Argentina",1
"0836","Castellanos","Colonia Iturraspe","Varones","de 05 a 09 años","Argentina",3
"0836","Castellanos","Colonia Iturraspe","Varones","de 10 a 14 años","Argentina",2
"0836","Castellanos","Colonia Iturraspe","Varones","de 25 a 29 años","Argentina",3
"0836","Castellanos","Colonia Iturraspe","Varones","de 50 a 54 años","Argentina",1
"0836","Castellanos","Colonia Iturraspe","Varones","de 60 a 64 años","Argentina",1
"0836","Castellanos","Colonia Iturraspe","Mujeres","de 00 a 04 años","Argentina",5
"0836","Castellanos","Colonia Iturraspe","Mujeres","de 05 a 09 años","Argentina",1
"0836","Castellanos","Colonia Iturraspe","Mujeres","de 10 a 14 años","Argentina",1
"0836","Castellanos","Colonia Iturraspe","Mujeres","de 20 a 24 años","Argentina",1
"0836","Castellanos","Colonia Iturraspe","Mujeres","de 30 a 34 años","Argentina",1
"0836","Castellanos","Colonia Iturraspe","Mujeres","de 40 a 44 años","Argentina",2
"0836","Castellanos","Colonia Iturraspe","Mujeres","de 55 a 59 años","Argentina",1
"0845","Castellanos","Colonia Margarita","Varones","de 00 a 04 años","Argentina",24
"0845","Castellanos","Colonia Margarita","Varones","de 05 a 09 años","Argentina",18
"0845","Castellanos","Colonia Margarita","Varones","de 10 a 14 años","Argentina",23
"0845","Castellanos","Colonia Margarita","Varones","de 15 a 19 años","Argentina",15
"0845","Castellanos","Colonia Margarita","Varones","de 20 a 24 años","Argentina",17
"0845","Castellanos","Colonia Margarita","Varones","de 25 a 29 años","Argentina",20
"0845","Castellanos","Colonia Margarita","Varones","de 30 a 34 años","Argentina",10
"0845","Castellanos","Colonia Margarita","Varones","de 35 a 39 años","Argentina",18
"0845","Castellanos","Colonia Margarita","Varones","de 40 a 44 años","Argentina",11
"0845","Castellanos","Colonia Margarita","Varones","de 45 a 49 años","Argentina",16
"0845","Castellanos","Colonia Margarita","Varones","de 50 a 54 años","Argentina",13
"0845","Castellanos","Colonia Margarita","Varones","de 55 a 59 años","Argentina",7
"0845","Castellanos","Colonia Margarita","Varones","de 60 a 64 años","Argentina",8
"0845","Castellanos","Colonia Margarita","Varones","de 65 a 69 años","Argentina",9
"0845","Castellanos","Colonia Margarita","Varones","de 70 a 74 años","Argentina",7
"0845","Castellanos","Colonia Margarita","Varones","de 75 a 79 años","Argentina",5
"0845","Castellanos","Colonia Margarita","Varones","de 80 y más años","Argentina",5
"0845","Castellanos","Colonia Margarita","Mujeres","de 00 a 04 años","Argentina",22
"0845","Castellanos","Colonia Margarita","Mujeres","de 05 a 09 años","Argentina",23
"0845","Castellanos","Colonia Margarita","Mujeres","de 10 a 14 años","Argentina",21
"0845","Castellanos","Colonia Margarita","Mujeres","de 15 a 19 años","Argentina",21
"0845","Castellanos","Colonia Margarita","Mujeres","de 20 a 24 años","Argentina",23
"0845","Castellanos","Colonia Margarita","Mujeres","de 25 a 29 años","Argentina",9
"0845","Castellanos","Colonia Margarita","Mujeres","de 30 a 34 años","Argentina",18
"0845","Castellanos","Colonia Margarita","Mujeres","de 35 a 39 años","Argentina",12
"0845","Castellanos","Colonia Margarita","Mujeres","de 40 a 44 años","Argentina",11
"0845","Castellanos","Colonia Margarita","Mujeres","de 45 a 49 años","Argentina",8
"0845","Castellanos","Colonia Margarita","Mujeres","de 50 a 54 años","Argentina",12
"0845","Castellanos","Colonia Margarita","Mujeres","de 55 a 59 años","Argentina",10
"0845","Castellanos","Colonia Margarita","Mujeres","de 60 a 64 años","Argentina",6
"0845","Castellanos","Colonia Margarita","Mujeres","de 65 a 69 años","Argentina",7
"0845","Castellanos","Colonia Margarita","Mujeres","de 70 a 74 años","Argentina",3
"0845","Castellanos","Colonia Margarita","Mujeres","de 75 a 79 años","Argentina",2
"0845","Castellanos","Colonia Margarita","Mujeres","de 80 y más años","Argentina",4
"0804","Castellanos","Colonia Raquel","Varones","de 00 a 04 años","Argentina",24
"0804","Castellanos","Colonia Raquel","Varones","de 05 a 09 años","Argentina",26
